Steps (K),Training loss,Training accuracy,Validation loss,Validation accuracy
0,5.888822,0.003791,5.888815,0.003569
100,2.298540748,0.41827783,2.244510296,0.418591589
200,2.164442244,0.438696414,2.081202739,0.445264876
300,2.100893956,0.450575352,2.007220869,0.457360834
400,2.078896769,0.454276204,1.98008581,0.462398738
500,2.047652964,0.457354963,1.934216541,0.470173657
600,2.045903156,0.464123935,1.919414256,0.47396335
700,1.996505141,0.466702849,1.873483541,0.481322169
800,1.970664624,0.473429263,1.843369523,0.485026658
900,1.96057697,0.475386053,1.823640795,0.491132289
1000,1.94620948,0.480139762,1.821481466,0.491944373
1100,1.921847309,0.482373029,1.797171119,0.494721472
1200,1.929538965,0.48185727,1.78557017,0.497714162
1300,1.93216705,0.480926722,1.776149825,0.499674171
1400,1.90114698,0.48570168,1.757555705,0.502466321
1500,1.903346101,0.487217128,1.751887153,0.505238414
1600,1.889763976,0.488083869,1.738041648,0.507429004
1700,1.894149668,0.488376319,1.751095731,0.504020274
1800,1.891150029,0.487855226,1.73528841,0.507474124
1900,1.878942043,0.489312172,1.72458699,0.51101321
2000,1.906240849,0.487940282,1.742897712,0.506827474
2100,1.883086874,0.490646809,1.710432412,0.512587249
2200,1.883474671,0.491003066,1.73017946,0.508120775
2300,1.869478303,0.493108749,1.704415051,0.514667571
2400,1.864268796,0.494496584,1.693505687,0.517369449
2500,1.850802781,0.495411158,1.692542939,0.517890811
2600,1.846772001,0.496416122,1.697629442,0.519750535
2700,1.831259282,0.498984396,1.684240929,0.517364442
2800,1.849926089,0.495363295,1.677252429,0.52005136
2900,1.848062036,0.497309446,1.67423195,0.520206749
3000,1.829838957,0.498239964,1.664746768,0.522246957
3100,1.824784661,0.49970755,1.669283419,0.520978689
3200,1.832947902,0.499659717,1.65163076,0.52481854
3300,1.824153196,0.500260592,1.669411388,0.522006333
3400,1.832387979,0.501095414,1.649814956,0.525410056
3500,1.818642643,0.501568615,1.648047496,0.525274694
3600,1.846658259,0.498117685,1.672590828,0.520868421
3700,1.825408464,0.501286805,1.640729371,0.526267231
3800,1.860785376,0.498213381,1.67616767,0.519845784
3900,1.824378637,0.503514767,1.639793189,0.527926505
4000,1.820071204,0.501797259,1.638173818,0.526979089
4100,1.815962519,0.503413737,1.637187065,0.528021753
4200,1.795181318,0.505205691,1.628094512,0.530202329
4300,1.802475663,0.506779611,1.630107218,0.528868914
4400,1.804280895,0.505753398,1.624881336,0.529560685
4500,1.819634984,0.502951145,1.628599399,0.529320061
4600,1.800206765,0.505046189,1.620906643,0.530478001
4700,1.794172911,0.505615115,1.620134958,0.531174779
4800,1.804996336,0.506045818,1.614659578,0.532342792
4900,1.806796828,0.506301045,1.630859933,0.528568149
5000,1.800570701,0.506742418,1.620541728,0.531114638
5100,1.794386495,0.507805884,1.609145504,0.532518268
5200,1.830248676,0.502860725,1.647452758,0.527229726
5300,1.812610664,0.50620538,1.606409976,0.534528375
5400,1.816828457,0.504487872,1.641773311,0.526337445
5500,1.789666078,0.507603824,1.613215516,0.533636093
5600,1.794221325,0.507215619,1.6016919,0.534738958
5700,1.784458242,0.509252191,1.602086021,0.535004616
5800,1.783785985,0.508220613,1.605060092,0.533931851
5900,1.772740729,0.510092318,1.599419844,0.535355508
6000,1.778729765,0.509592474,1.598735542,0.536368072
6100,1.797340158,0.507795215,1.598693475,0.535330474
6200,1.783240493,0.509305358,1.592196359,0.536388159
6300,1.771347538,0.511474848,1.591852256,0.536769152
6400,1.788277666,0.50917244,1.587900387,0.536237776
6500,1.760473669,0.513144493,1.580304533,0.5388394
6600,1.762617326,0.514649272,1.570921261,0.541230559
6700,1.762000214,0.514739692,1.570197327,0.54147619
6800,1.789877546,0.510076344,1.593459563,0.536207676
6900,1.766218891,0.512533009,1.564900206,0.542273223
7000,1.771969525,0.512081027,1.592954317,0.535826743
7100,1.763873339,0.512841403,1.564946888,0.54226321
7200,1.766793932142622,0.514335572719574,1.5633662647287128,0.541912317276001
7300,1.751245811896014,0.5171324610710144,1.558087777349958,0.5442081689834595
7400,1.7472841764578553,0.5153511762619019,1.5616571134745711,0.5432356595993042
7500,1.7398759791320413,0.5161328315734863,1.563938892022478,0.5431855320930481
7600,1.755254104201011,0.5131019353866577,1.5598320857785166,0.5432607531547546
7700,1.7546891515527183,0.5148460268974304,1.5587656051063905,0.543145477771759
7800,1.7549160821529723,0.5154469013214111,1.556162987266514,0.5446041822433472
7900,1.743691322527939,0.5178024768829346,1.5543644584722538,0.5441079139709473
8000,1.7569024634666541,0.5152022838592529,1.5566466221078528,0.5433860421180725
